"","long","lat","rich"
"1",-72.509093683499,-52.4901918119666,58
"2",-70.9991472703212,-52.4901918119666,56
"3",-73.2640668900879,-51.1825398598014,55
"4",-71.7541204769101,-51.1825398598014,31
"5",-70.2441740637323,-51.1825398598014,24
"6",-74.0190400966768,-49.8748879076362,43
"7",-72.509093683499,-49.8748879076362,32
"8",-70.9991472703212,-49.8748879076362,22
"9",-69.4892008571434,-49.8748879076362,53
"10",-67.9792544439655,-49.8748879076362,48
"11",-73.2640668900879,-48.567235955471,51
"12",-71.7541204769101,-48.567235955471,26
"13",-70.2441740637323,-48.567235955471,23
"14",-68.7342276505545,-48.567235955471,21
"15",-67.2242812373766,-48.567235955471,52
"16",-74.0190400966768,-47.2595840033059,45
"17",-72.509093683499,-47.2595840033059,31
"18",-70.9991472703212,-47.2595840033059,27
"19",-69.4892008571434,-47.2595840033059,27
"20",-67.9792544439655,-47.2595840033059,57
"21",-66.4693080307877,-47.2595840033059,54
"22",-74.7740133032657,-45.9519320511407,44
"23",-73.2640668900879,-45.9519320511407,46
"24",-71.7541204769101,-45.9519320511407,36
"25",-70.2441740637323,-45.9519320511407,31
"26",-68.7342276505545,-45.9519320511407,26
"27",-72.509093683499,-44.6442800989755,53
"28",-70.9991472703212,-44.6442800989755,33
"29",-69.4892008571434,-44.6442800989755,27
"30",-67.9792544439655,-44.6442800989755,24
"31",-66.4693080307877,-44.6442800989755,57
"32",-71.7541204769101,-43.3366281468103,39
"33",-70.2441740637323,-43.3366281468103,33
"34",-68.7342276505545,-43.3366281468103,32
"35",-67.2242812373766,-43.3366281468103,28
"36",-65.7143348241988,-43.3366281468103,61
"37",-70.9991472703212,-42.0289761946451,40
"38",-69.4892008571434,-42.0289761946451,35
"39",-67.9792544439655,-42.0289761946451,37
"40",-66.4693080307877,-42.0289761946451,34
"41",-73.2640668900879,-40.7213242424799,57
"42",-71.7541204769101,-40.7213242424799,49
"43",-70.2441740637323,-40.7213242424799,43
"44",-68.7342276505545,-40.7213242424799,36
"45",-67.2242812373766,-40.7213242424799,37
"46",-65.7143348241988,-40.7213242424799,72
"47",-64.204388411021,-40.7213242424799,66
"48",-62.6944419978432,-40.7213242424799,63
"49",-72.509093683499,-39.4136722903147,36
"50",-70.9991472703212,-39.4136722903147,44
"51",-69.4892008571434,-39.4136722903147,35
"52",-67.9792544439655,-39.4136722903147,38
